Variavel,Importancia
BMI,0.17033003210410833
Age,0.1268673841694501
GenHlth,0.10195248244380484
Income,0.08428746208920679
HighBP,0.07772396910257472
PhysHlth,0.06804548101358793
Education,0.05710840666181836
MentHlth,0.05197551340959408
HighChol,0.040477318407205615
Smoker,0.028869330682541442
Fruits,0.02864897167452599
Sex,0.026948847893716946
DiffWalk,0.026396376846992774
PhysActivity,0.02365965768120789
Veggies,0.022097440989363365
HeartDiseaseorAttack,0.019480127790779872
NoDocbcCost,0.011961478203143265
Stroke,0.00994221700977548
HvyAlcoholConsump,0.00980788642632436
AnyHealthcare,0.007728523417942165
CholCheck,0.00569109198233575
